016-01-04 09:00:00 - INFO  - Rebalance at 2016-01-04

2016-01-04 09:30:00 - INFO  - 订单已提交: MarginOrder(entrust_id=1539759250 security=000922.XSHE mode=OrderAmount: _amount=20700 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - order MarginOrder(entrust_id=1539759250 security=000922.XSHE mode=OrderAmount: _amount=20700 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=) trade price: 12.79, amount:20700, commission: 79.43

2016-01-04 09:30:00 - INFO  - 订单已委托: MarginOrder(entrust_id=1539759250 security=000922.XSHE mode=OrderAmount: _amount=20700 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - 订单已提交: MarginOrder(entrust_id=1539759251 security=600280.XSHG mode=OrderAmount: _amount=20600 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - order MarginOrder(entrust_id=1539759251 security=600280.XSHG mode=OrderAmount: _amount=20600 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=) trade price: 11.11, amount:20600, commission: 68.66

2016-01-04 09:30:00 - INFO  - 订单已委托: MarginOrder(entrust_id=1539759251 security=600280.XSHG mode=OrderAmount: _amount=20600 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - 订单已提交: MarginOrder(entrust_id=1539759252 security=000630.XSHE mode=OrderAmount: _amount=102800 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - order MarginOrder(entrust_id=1539759252 security=000630.XSHE mode=OrderAmount: _amount=102800 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=) trade price: 3.57, amount:102800, commission: 110.1

2016-01-04 09:30:00 - INFO  - 订单已委托: MarginOrder(entrust_id=1539759252 security=000630.XSHE mode=OrderAmount: _amount=102800 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - 订单已提交: MarginOrder(entrust_id=1539759253 security=000996.XSHE mode=OrderAmount: _amount=5300 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - order MarginOrder(entrust_id=1539759253 security=000996.XSHE mode=OrderAmount: _amount=5300 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=) trade price: 28.5, amount:5300, commission: 45.32

2016-01-04 09:30:00 - INFO  - 订单已委托: MarginOrder(entrust_id=1539759253 security=000996.XSHE mode=OrderAmount: _amount=5300 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - 订单已提交: MarginOrder(entrust_id=1539759254 security=300353.XSHE mode=OrderAmount: _amount=7400 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - order MarginOrder(entrust_id=1539759254 security=300353.XSHE mode=OrderAmount: _amount=7400 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=) trade price: 24.49, amount:7400, commission: 54.37

2016-01-04 09:30:00 - INFO  - 订单已委托: MarginOrder(entrust_id=1539759254 security=300353.XSHE mode=OrderAmount: _amount=7400 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

2016-01-04 09:30:00 - INFO  - 订单已提交: MarginOrder(entrust_id=1539759255 security=600763.XSHG mode=OrderAmount: _amount=3200 style=MarketOrderStyle side=long margin=True entrust_time=2016-01-04 09:30:00 error=)

